property_id,property_type,bhk,price_inr,price_unit,area_sqft,area_unit_original,price_per_sqft,furnishing,transaction_type,ownership,facing,current_floor,total_floors,covered_parking,open_parking,construction_age_bucket,area_id,raw_text_available 
PROP044,Flat,3,27600000,Cr,2915,Sqft,9500,Unfurnished,New Property,Freehold,,0,0,0,0,Under Construction,AREA001,YES
PROP045,Independent House,4,112600000,Cr,9559,Sqft,11785,Unfurnished,New Property,Freehold,,0,0,0,1,Under Construction,AREA001,YES
PROP046,Independent House,4,15000000,Cr,1250,Sqft,12000,Semi-Furnished,Resale,Freehold,East,0,3,1,0,<5 years,AREA001,YES
PROP047,Flat,3,25000000,Cr,1206,Sqft,20730,Semi-Furnished,Resale,Freehold,,10,18,1,0,<5 years,AREA001,YES
PROP048,Builder Floor,3,8200000,Lac,1545,Sqft,5307,Semi-Furnished,Resale,Freehold,South - East,1,3,2,0,Unknown,AREA001,YES
PROP049,Independent House,1,2700000,Lac,540,Sqft,5000,Semi-Furnished,Resale,Freehold,,0,1,0,0,Unknown,AREA001,YES
PROP050,Flat,3,5500000,Lac,1464,Sqft,3757,Semi-Furnished,Resale,Freehold,,1,5,0,0,5-10 years,AREA003,YES
PROP051,Flat,3,8500000,Lac,1812,Sqft,4691,Unfurnished,Resale,Freehold,,1,4,0,0,New Construction,AREA003,YES
PROP052,Independent House,3,4800000,Lac,960,Sqft,5000,Semi-Furnished,New Property,Freehold,East,0,1,0,0,<5 years,AREA003,YES
PROP053,Independent House,3,3920000,Lac,1750,Sqft,2240,Semi-Furnished,Resale,Freehold,,0,0,0,0,Unknown,AREA003,YES
PROP054,Builder Floor,3,6500000,Lac,1285,Sqft,5058,Semi-Furnished,Resale,Freehold,,2,5,0,0,Unknown,AREA003,YES
PROP055,Independent House,3,23000000,Cr,3350,Sqft,6866,Semi-Furnished,Resale,Freehold,,0,3,0,0,Unknown,AREA003,YES
PROP056,Independent House,3,3500000,Lac,700,Sqft,5000,Unfurnished,Resale,Freehold,,0,3,0,0,Unknown,AREA003,YES
PROP057,Independent House,3,2100000,Lac,900,Sqft,2333,Furnished,Resale,Freehold,,0,1,1,0,<5 years,AREA003,YES
PROP058,Independent House,3,5500000,Lac,1500,Sqft,3667,Semi-Furnished,Resale,Freehold,,0,0,0,0,Unknown,AREA003,YES
PROP059,Independent House,2,4750000,Lac,1000,Sqft,4750,Furnished,New Property,Freehold,North - East,1,1,1,0,New Construction,AREA003,YES
PROP060,Independent House,4,8000000,Lac,2300,Sqft,3478,Semi-Furnished,Resale,Freehold,,0,0,0,0,Unknown,AREA003,YES
PROP061,Flat,4,10000000,Cr,1680,Sqft,5952,Semi-Furnished,New Property,Freehold,,4,6,0,0,10-15 years,AREA003,YES
PROP062,Independent House,2,5500000,Lac,1000,Sqft,5500,Semi-Furnished,Resale,Freehold,East,1,1,0,0,<5 years,AREA003,YES
PROP063,Builder Floor,2,4500000,Lac,1100,Sqft,4091,Unfurnished,Resale,Freehold,,3,5,0,0,Unknown,AREA003,YES
PROP064,Flat,2,5500000,Lac,1210,Sqft,4545,Furnished,Resale,Freehold,,4,4,0,0,<5 years,AREA003,YES
PROP065,Independent House,2,3500000,Lac,450,Sqft,7778,Semi-Furnished,Resale,Freehold,North,0,1,0,0,5-10 years,AREA003,YES
PROP066,Independent House,2,3500000,Lac,567,Sqft,6173,Semi-Furnished,Resale,Freehold,,1,1,0,0,Unknown,AREA003,YES
PROP067,Independent House,4,4200000,Lac,2400,Sqft,1750,Semi-Furnished,Resale,Freehold,,1,2,0,0,Unknown,AREA003,YES
PROP068,Independent House,4,11000000,Cr,3000,Sqft,3667,Furnished,Resale,Freehold,,0,0,0,0,Unknown,AREA003,YES
PROP069,Independent House,2,3260000,Lac,0,Sqft,0,Unknown,Resale,Freehold,,0,0,0,0,Unknown,AREA003,YES
PROP070,Builder Floor,2,2000000,Lac,630,Sqft,3175,Semi-Furnished,Resale,Freehold,,1,4,1,0,New Construction,AREA003,YES
PROP071,Independent House,2,1300000,Lac,580,Sqft,2241,Unfurnished,Resale,Freehold,,0,0,0,0,Unknown,AREA003,YES
PROP072,Builder Floor,2,2500000,Lac,700,Sqft,3571,Unfurnished,Resale,Freehold,,0,3,0,0,Unknown,AREA003,YES
PROP073,Independent House,5,42500000,Cr,4000,Sqft,10625,Semi-Furnished,Resale,Freehold,North - West,0,2,1,0,10-15 years,AREA003,YES
PROP074,Independent House,1,900000,Lac,402,Sqft,2239,Semi-Furnished,Resale,Freehold,,1,1,0,0,Unknown,AREA003,YES
PROP075,Independent House,1,4500000,Lac,800,Sqft,5625,Unfurnished,Resale,Freehold,North,0,0,0,1,Unknown,AREA003,YES
PROP076,Independent House,5,9000000,Lac,2000,Sqft,4500,Furnished,Resale,Freehold,North - East,0,0,0,0,15-20 years,AREA003,YES
PROP077,Flat,2,5000000,Lac,900,Sqft,5556,Semi-Furnished,Resale,Freehold,,3,4,1,0,Unknown,AREA004,YES
PROP078,Independent House,2,1750000,Lac,500,Sqft,3500,Unfurnished,Resale,Freehold,,0,2,0,0,Unknown,AREA004,YES
PROP079,Flat,2,8500000,Lac,985,Sqft,8629,Semi-Furnished,Resale,Freehold,South,8,12,0,0,10-15 years,AREA004,YES
PROP080,Flat,2,9000000,Lac,1070,Sqft,8411,Semi-Furnished,Resale,Freehold,North,2,8,1,0,Unknown,AREA004,YES
PROP081,Flat,3,22500000,Cr,1500,Sqft,15000,Semi-Furnished,Resale,Freehold,North - East,6,9,1,0,Unknown,AREA004,YES
PROP082,Flat,3,9200000,Lac,1200,Sqft,7667,Furnished,Resale,Freehold,North,5,6,0,0,<5 years,AREA004,YES
PROP083,Independent House,3,35000000,Cr,2300,Sqft,15217,Furnished,Resale,Freehold,North - East,2,2,0,0,New Construction,AREA005,YES
PROP084,Flat,2,7500000,Lac,810,Sqft,37500,Unfurnished,Resale,Freehold,,3,4,0,0,<5 years,AREA004,YES
PROP085,Flat,2,5800000,Lac,990,Sqft,5859,Unfurnished,Resale,Freehold,,1,5,0,0,<5 years,AREA004,YES
PROP086,Flat,3,12500000,Cr,1350,Sqft,9259,Semi-Furnished,Resale,Freehold,West,3,6,0,0,5-10 years,AREA004,YES
PROP087,Builder Floor,3,6000000,Lac,1250,Sqft,4800,Unfurnished,New Property,Freehold,North - West,3,3,0,0,New Construction,AREA004,YES
PROP088,Independent House,6,4500000,Lac,325,Sqft,13846,Unfurnished,Resale,Freehold,,0,1,0,0,Unknown,AREA005,YES
PROP089,Independent House,3,12500000,Cr,1689,Sqft,7401,Furnished,New Property,Freehold,South,0,0,0,0,New Construction,AREA005,YES
PROP090,Independent House,5,6000000,Lac,800,Sqft,7500,Semi-Furnished,Resale,Freehold,East,3,3,0,0,>20 years,AREA005,YES
PROP091,Flat,3,3000000,Lac,1000,Sqft,3000,Unfurnished,Resale,Freehold,,2,3,0,0,<5 years,AREA005,YES
PROP092,Flat,2,4000000,Lac,1100,Sqft,3636,Semi-Furnished,Resale,Freehold,East,2,2,1,0,New Construction,AREA005,YES
PROP093,Independent House,3,4000000,Lac,675,Sqft,5926,Semi-Furnished,Resale,Freehold,,0,2,0,0,5-10 years,AREA006,YES
PROP094,Flat,2,5000000,Lac,900,Sqft,5556,Semi-Furnished,Resale,Freehold,,3,4,1,0,Unknown,AREA004,YES
PROP095,Independent House,2,1750000,Lac,500,Sqft,3500,Unfurnished,Resale,Freehold,,0,2,0,0,Unknown,AREA004,YES
PROP096,Flat,2,8500000,Lac,985,Sqft,8629,Semi-Furnished,Resale,Freehold,South,8,12,0,0,10-15 years,AREA004,YES
PROP097,Flat,2,9000000,Lac,1070,Sqft,8411,Semi-Furnished,Resale,Freehold,North,2,8,1,0,Unknown,AREA004,YES
PROP098,Flat,3,22500000,Cr,1500,Sqft,15000,Semi-Furnished,Resale,Freehold,North - East,6,9,1,0,Unknown,AREA004,YES
PROP099,Flat,3,9200000,Lac,1200,Sqft,7667,Furnished,Resale,Freehold,North,5,6,0,0,<5 years,AREA004,YES
PROP100,Independent House,3,35000000,Cr,2300,Sqft,15217,Furnished,Resale,Freehold,North - East,2,2,0,0,New Construction,AREA005,YES
PROP101,Flat,2,7500000,Lac,810,Sqft,37500,Unfurnished,Resale,Freehold,,3,4,0,0,<5 years,AREA004,YES
PROP102,Flat,2,5800000,Lac,990,Sqft,5859,Unfurnished,Resale,Freehold,,1,5,0,0,<5 years,AREA004,YES
PROP103,Flat,3,12500000,Cr,1350,Sqft,9259,Semi-Furnished,Resale,Freehold,West,3,6,0,0,5-10 years,AREA004,YES
PROP104,Builder Floor,3,6000000,Lac,1250,Sqft,4800,Unfurnished,New Property,Freehold,North - West,3,3,0,0,New Construction,AREA004,YES
PROP105,Independent House,6,4500000,Lac,325,Sqft,13846,Unfurnished,Resale,Freehold,,0,1,0,0,Unknown,AREA005,YES
PROP106,Independent House,3,12500000,Cr,1689,Sqft,7401,Furnished,New Property,Freehold,South,0,0,0,0,New Construction,AREA005,YES
PROP107,Independent House,5,6000000,Lac,800,Sqft,7500,Semi-Furnished,Resale,Freehold,East,3,3,0,0,>20 years,AREA005,YES
PROP108,Flat,3,3000000,Lac,1000,Sqft,3000,Unfurnished,Resale,Freehold,,2,3,0,0,<5 years,AREA005,YES
PROP109,Flat,2,4000000,Lac,1100,Sqft,3636,Semi-Furnished,Resale,Freehold,East,2,2,1,0,New Construction,AREA005,YES
PROP110,Independent House,3,4000000,Lac,675,Sqft,5926,Semi-Furnished,Resale,Freehold,,0,2,0,0,5-10 years,AREA006,YES
